date,amount,category,description
01-01-2024,1500.00,Income,Freelance Work
15-01-2024,200.00,Expense,Groceries
20-01-2024,100.00,Expense,Transport
05-02-2024,3000.00,Income,Project Payment
10-02-2024,50.00,Expense,Utilities
25-02-2024,120.00,Expense,Entertainment
01-03-2024,2500.00,Income,Salary
15-03-2024,180.00,Expense,Clothing
20-03-2024,75.00,Expense,Healthcare
05-04-2024,4000.00,Income,Bonus
10-04-2024,90.00,Expense,Subscriptions
25-04-2024,150.00,Expense,Travel
01-05-2024,1600.00,Income,Freelance Work
15-05-2024,210.00,Expense,Groceries
20-05-2024,110.00,Expense,Transport
05-06-2024,3100.00,Income,Project Payment
10-06-2024,60.00,Expense,Utilities
25-06-2024,130.00,Expense,Entertainment
01-07-2024,2600.00,Income,Salary
15-07-2024,190.00,Expense,Clothing
20-07-2024,85.00,Expense,Healthcare
05-08-2024,4100.00,Income,Bonus
10-08-2024,100.00,Expense,Subscriptions
25-08-2024,160.00,Expense,Travel
01-09-2024,1700.00,Income,Freelance Work
15-09-2024,220.00,Expense,Groceries
20-09-2024,120.00,Expense,Transport
05-10-2024,3200.00,Income,Project Payment
10-10-2024,70.00,Expense,Utilities
25-10-2024,140.00,Expense,Entertainment
01-11-2024,2700.00,Income,Salary
15-11-2024,200.00,Expense,Clothing
20-11-2024,95.00,Expense,Healthcare
05-12-2024,4200.00,Income,Bonus
10-12-2024,110.00,Expense,Subscriptions
25-12-2024,170.00,Expense,Travel
01-01-2025,1800.00,Income,Freelance Work
15-01-2025,230.00,Expense,Groceries
20-01-2025,130.00,Expense,Transport
05-02-2025,3300.00,Income,Project Payment
10-02-2025,80.00,Expense,Utilities
25-02-2025,150.00,Expense,Entertainment
01-03-2025,2800.00,Income,Salary
15-03-2025,210.00,Expense,Clothing
20-03-2025,105.00,Expense,Healthcare
05-04-2025,4300.00,Income,Bonus
10-04-2025,120.00,Expense,Subscriptions
25-04-2025,180.00,Expense,Travel
01-05-2025,1900.00,Income,Freelance Work
15-05-2025,240.00,Expense,Groceries
20-05-2025,140.00,Expense,Transport
05-06-2025,3400.00,Income,Project Payment
10-06-2025,90.00,Expense,Utilities
25-06-2025,160.00,Expense,Entertainment